iter	Passed	Remaining
1009	8960	79759
1010	8968	79744
1011	8979	79749
1012	8989	79749
1013	8998	79745
1014	9007	79738
1015	9017	79737
1016	9026	79732
1017	9036	79732
1018	9045	79724
1019	9055	79722
1020	9064	79720
1021	9073	79708
1022	9083	79705
1023	9091	79693
1024	9100	79685
1025	9109	79674
1026	9118	79668
1027	9127	79662
1028	9136	79650
1029	9144	79639
1030	9153	79631
1031	9162	79617
1032	9170	79603
1033	9179	79594
1034	9187	79579
1035	9196	79569
1036	9204	79560
1037	9214	79553
1038	9223	79545
1039	9231	79532
1040	9240	79526
1041	9249	79513
1042	9258	79507
1043	9267	79498
1044	9277	79504
1045	9288	79508
1046	9297	79504
1047	9307	79500
1048	9316	79498
1049	9326	79496
1050	9336	79498
1051	9346	79498
1052	9356	79499
1053	9365	79491
1054	9373	79475
1055	9382	79464
1056	9390	79447
1057	9398	79435
1058	9406	79418
1059	9415	79413
1060	9424	79402
1061	9432	79386
1062	9441	79374
1063	9449	79360
1064	9457	79346
1065	9465	79333
1066	9473	79316
1067	9482	79305
1068	9493	79310
1069	9503	79311
1070	9512	79302
1071	9521	79300
1072	9530	79290
1073	9538	79273
1074	9547	79265
1075	9557	79269
1076	9567	79264
1077	9576	79257
1078	9586	79256
1079	9595	79252
1080	9606	79260
1081	9615	79250
1082	9624	79248
1083	9634	79243
1084	9644	79245
1085	9654	79244
1086	9663	79240
1087	9672	79228
1088	9680	79215
1089	9688	79199
1090	9698	79196
1091	9707	79186
1092	9717	79191
1093	9727	79185
1094	9735	79172
1095	9744	79162
1096	9753	79155
1097	9761	79143
1098	9770	79132
1099	9778	79115
1100	9786	79101
1101	9794	79087
1102	9804	79081
1103	9813	79078
1104	9823	79073
1105	9832	79069
1106	9841	79058
1107	9849	79044
1108	9857	79028
1109	9867	79025
1110	9877	79028
1111	9886	79024
1112	9896	79022
1113	9906	79022
1114	9916	79018
1115	9925	79016
1116	9935	79009
1117	9944	79004
1118	9953	78998
1119	9962	78989
1120	9971	78976
1121	9979	78961
1122	9988	78956
1123	9996	78943
1124	10004	78925
1125	10013	78913
1126	10022	78905
1127	10030	78896
1128	10040	78890
1129	10049	78883
1130	10057	78867
1131	10066	78859
1132	10075	78851
1133	10084	78843
1134	10092	78829
1135	10099	78808
1136	10109	78801
1137	10118	78792
1138	10127	78787
1139	10135	78770
1140	10143	78758
1141	10152	78747
1142	10161	78737
1143	10169	78721
1144	10178	78713
1145	10187	78707
1146	10196	78699
1147	10205	78694
1148	10215	78694
1149	10225	78694
1150	10235	78688
1151	10243	78677
1152	10254	78681
1153	10262	78666
1154	10272	78663
1155	10281	78658
1156	10290	78648
1157	10298	78634
1158	10307	78629
1159	10316	78619
1160	10325	78609
1161	10334	78599
1162	10342	78587
1163	10350	78568
1164	10357	78550
1165	10366	78538
1166	10375	78532
1167	10384	78526
1168	10393	78515
1169	10401	78501
1170	10410	78495
1171	10420	78490
1172	10429	78482
1173	10439	78480
1174	10448	78474
1175	10457	78470
1176	10467	78467
1177	10477	78467
1178	10487	78467
1179	10497	78464
1180	10507	78466
1181	10517	78463
1182	10527	78461
1183	10535	78448
1184	10544	78439
1185	10553	78429
1186	10563	78430
1187	10573	78431
1188	10584	78435
1189	10593	78426
1190	10600	78407
1191	10611	78411
1192	10621	78407
1193	10630	78401
1194	10640	78402
1195	10651	78404
1196	10659	78393
1197	10668	78381
1198	10677	78375
1199	10685	78363
1200	10695	78357
1201	10703	78341
1202	10711	78328
1203	10720	78316
1204	10727	78300
1205	10736	78290
1206	10745	78278
1207	10753	78263
1208	10762	78257
1209	10770	78241
1210	10778	78227
1211	10787	78216
1212	10796	78207
1213	10804	78196
1214	10812	78181
1215	10822	78179
1216	10830	78164
1217	10839	78151
1218	10848	78143
1219	10856	78128
1220	10864	78115
1221	10873	78108
1222	10881	78094
1223	10890	78083
1224	10899	78078
1225	10908	78067
1226	10917	78056
1227	10924	78037
1228	10933	78031
1229	10942	78019
1230	10951	78010
1231	10960	78005
1232	10970	78005
1233	10980	77999
1234	10989	77995
1235	10999	77992
1236	11008	77986
1237	11018	77987
1238	11028	77983
1239	11038	77981
1240	11049	77985
1241	11058	77979
1242	11066	77963
1243	11075	77955
1244	11083	77941
1245	11092	77930
1246	11100	77914
1247	11108	77902
1248	11117	77891
1249	11126	77882
1250	11134	77870
1251	11143	77860
1252	11151	77845
1253	11159	77835
1254	11169	77827
1255	11178	77822
1256	11187	77812
1257	11195	77798
1258	11204	77788
